Date,Open,High,Low,Close,Adj Close,Volume
2005-05-16,27.620001,27.620001,27.620001,27.620001,21.441940,0
2005-05-17,27.820000,27.820000,27.820000,27.820000,21.597204,0
2005-05-18,28.129999,28.129999,28.129999,28.129999,21.837860,0
2005-05-19,28.270000,28.270000,28.270000,28.270000,21.946543,0
2005-05-20,28.240000,28.240000,28.240000,28.240000,21.923258,0
2005-05-23,28.350000,28.350000,28.350000,28.350000,22.008646,0
2005-05-24,28.360001,28.360001,28.360001,28.360001,22.016417,0
2005-05-25,28.240000,28.240000,28.240000,28.240000,21.923258,0
2005-05-26,28.440001,28.440001,28.440001,28.440001,22.078518,0
2005-05-27,28.490000,28.490000,28.490000,28.490000,22.117334,0
2005-05-31,28.360001,28.360001,28.360001,28.360001,22.016417,0
2005-06-01,28.620001,28.620001,28.620001,28.620001,22.218252,0
2005-06-02,28.680000,28.680000,28.680000,28.680000,22.264835,0
2005-06-03,28.500000,28.500000,28.500000,28.500000,22.125095,0
2005-06-06,28.549999,28.549999,28.549999,28.549999,22.163912,0
2005-06-07,28.549999,28.549999,28.549999,28.549999,22.163912,0
2005-06-08,28.480000,28.480000,28.480000,28.480000,22.109570,0
2005-06-09,28.639999,28.639999,28.639999,28.639999,22.233784,0
2005-06-10,28.590000,28.590000,28.590000,28.590000,22.194973,0
2005-06-13,28.670000,28.670000,28.670000,28.670000,22.257074,0
2005-06-14,28.760000,28.760000,28.760000,28.760000,22.326935,0
2005-06-15,28.830000,28.830000,28.830000,28.830000,22.381287,0
2005-06-16,28.969999,28.969999,28.969999,28.969999,22.489973,0
2005-06-17,29.090000,29.090000,29.090000,29.090000,22.583120,0
2005-06-20,29.070000,29.070000,29.070000,29.070000,22.567598,0
2005-06-21,29.010000,29.010000,29.010000,29.010000,22.521029,0
2005-06-22,29.030001,29.030001,29.030001,29.030001,22.536549,0
2005-06-23,28.730000,28.730000,28.730000,28.730000,22.303654,0
2005-06-24,28.420000,28.420000,28.420000,28.420000,22.132326,0
2005-06-27,28.410000,28.410000,28.410000,28.410000,22.124533,0
2005-06-28,28.700001,28.700001,28.700001,28.700001,22.350378,0
2005-06-29,28.670000,28.670000,28.670000,28.670000,22.327019,0
2005-06-30,28.500000,28.500000,28.500000,28.500000,22.194628,0
2005-07-01,28.590000,28.590000,28.590000,28.590000,22.264708,0
2005-07-05,28.860001,28.860001,28.860001,28.860001,22.474977,0
2005-07-06,28.650000,28.650000,28.650000,28.650000,22.311438,0
2005-07-07,28.719999,28.719999,28.719999,28.719999,22.365953,0
2005-07-08,29.070000,29.070000,29.070000,29.070000,22.638517,0
2005-07-11,29.270000,29.270000,29.270000,29.270000,22.794271,0
2005-07-12,29.340000,29.340000,29.340000,29.340000,22.848783,0
2005-07-13,29.340000,29.340000,29.340000,29.340000,22.848783,0
2005-07-14,29.370001,29.370001,29.370001,29.370001,22.872145,0
2005-07-15,29.410000,29.410000,29.410000,29.410000,22.903297,0
2005-07-18,29.260000,29.260000,29.260000,29.260000,22.786482,0
2005-07-19,29.490000,29.490000,29.490000,29.490000,22.965599,0
2005-07-20,29.650000,29.650000,29.650000,29.650000,23.090195,0
2005-07-21,29.420000,29.420000,29.420000,29.420000,22.911089,0
2005-07-22,29.610001,29.610001,29.610001,29.610001,23.059055,0
2005-07-25,29.480000,29.480000,29.480000,29.480000,22.957804,0
2005-07-26,29.549999,29.549999,29.549999,29.549999,23.012323,0
2005-07-27,29.670000,29.670000,29.670000,29.670000,23.105770,0
2005-07-28,29.870001,29.870001,29.870001,29.870001,23.261520,0
2005-07-29,29.670000,29.670000,29.670000,29.670000,23.105770,0
2005-08-01,29.719999,29.719999,29.719999,29.719999,23.144707,0
2005-08-02,29.920000,29.920000,29.920000,29.920000,23.300465,0
2005-08-03,29.920000,29.920000,29.920000,29.920000,23.300465,0
2005-08-04,29.680000,29.680000,29.680000,29.680000,23.113558,0
2005-08-05,29.420000,29.420000,29.420000,29.420000,22.911089,0
2005-08-08,29.320000,29.320000,29.320000,29.320000,22.833206,0
2005-08-09,29.490000,29.490000,29.490000,29.490000,22.965599,0
2005-08-10,29.459999,29.459999,29.459999,29.459999,22.942232,0
2005-08-11,29.680000,29.680000,29.680000,29.680000,23.113558,0
2005-08-12,29.510000,29.510000,29.510000,29.510000,22.981169,0
2005-08-15,29.610001,29.610001,29.610001,29.610001,23.059055,0
2005-08-16,29.260000,29.260000,29.260000,29.260000,22.786482,0
2005-08-17,29.270000,29.270000,29.270000,29.270000,22.794271,0
2005-08-18,29.230000,29.230000,29.230000,29.230000,22.763119,0
2005-08-19,29.260000,29.260000,29.260000,29.260000,22.786482,0
2005-08-22,29.320000,29.320000,29.320000,29.320000,22.833206,0
2005-08-23,29.240000,29.240000,29.240000,29.240000,22.770906,0
2005-08-24,29.080000,29.080000,29.080000,29.080000,22.646305,0
2005-08-25,29.150000,29.150000,29.150000,29.150000,22.700817,0
2005-08-26,28.950001,28.950001,28.950001,28.950001,22.545073,0
